,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29,It 30,It 31,It 32,It 33,It 34,It 35,It 36,It 37,It 38,It 39
1265,24.952911,-99.83204,57.875797,84.53511,88.10477,114.44166,132.29875,101.110054,48.207325,94.31609,-32.761444,90.14882,50.01876,-104.132225,20.526949,62.031284,129.37299,68.88015,8.900465,94.99036,26.528908,-111.03931,69.05765,5.795554,104.28221,-62.747383,67.19381,-104.520966,50.203598,-45.000183,77.83615,-19.053974,96.890114,18.97138,5.8049655,38.98711,-0.38305286,-98.26352,84.505875,53.167526
1266,17.37094,-104.527626,65.66759,10.220337,93.96667,114.613884,122.87179,103.68257,41.556248,84.28195,-91.374306,85.646614,55.28663,-5.6736765,25.795307,57.628784,123.26748,12.847698,8.870044,88.441765,27.24634,-15.462763,79.65989,14.037172,108.407265,93.453415,71.50169,-118.99634,54.63715,88.90533,76.9599,-21.653625,93.54738,17.321472,23.963585,36.70811,-1.5283811,5.1262302,82.33759,-48.145027
1267,-129.47263,9.963089,58.15104,-21.442083,92.30848,122.360245,119.03777,110.409546,56.065617,94.18598,-40.675983,87.11284,52.46922,-103.7465,24.693882,55.116318,127.726875,42.09086,12.689666,89.82096,-135.38068,-18.727879,78.57944,-2.2809005,107.261444,111.84549,68.96402,-104.442894,58.756897,102.12342,68.30284,-18.890463,97.431526,14.270645,9.556118,39.45971,-12.825095,-15.621447,89.16901,-64.86275
1268,-6.909819,31.153585,62.95988,103.70979,88.35872,110.764885,124.92125,-42.5355,63.01124,87.86124,-45.62853,98.02965,52.573475,1.5215917,22.934984,65.21228,120.767845,46.511627,-19.838202,98.37057,-14.166334,-10.092868,65.29312,-118.0717,102.29277,115.7099,72.17647,-14.439923,72.540924,-54.30199,85.73377,-15.350165,108.87545,-83.08879,8.990689,32.41592,-8.764757,-6.146774,93.305916,-112.31347
1269,43.71239,75.8312,63.418095,93.43296,81.46066,138.1009,118.14166,115.274475,50.753242,103.03738,-28.89707,99.523926,64.40703,30.039692,-18.984825,59.10806,123.226326,47.90642,11.319514,94.44539,4.919824,-0.31112432,79.607155,-127.025215,96.01794,113.87393,73.00967,-19.445578,-97.25243,114.03719,72.12787,-13.904073,-82.00872,13.766707,4.561134,11.903749,6.151357,-10.064869,81.94092,-72.79931
1270,-127.18446,88.5915,61.964863,107.358826,82.77911,123.25348,129.81888,-90.24227,54.772583,103.46102,-44.498604,99.24329,63.201527,-77.57721,25.524637,32.319992,115.77349,54.839493,11.434441,82.4279,-13.602437,-11.607776,96.09347,-117.80174,112.43933,91.84386,63.06164,-34.54586,-25.13219,113.62904,75.34016,-17.109438,-94.70017,23.945456,1.5642456,21.146751,-14.810399,-94.50908,82.65139,-91.488045
1271,20.726576,74.06403,82.1672,91.13667,84.610886,105.083534,131.99948,99.8428,53.790085,89.65375,-84.154366,-35.642914,54.90185,-92.79257,-97.44347,52.65919,122.50167,70.0906,-91.650826,90.21612,-90.943794,-16.815504,91.66181,12.449064,100.6898,-30.800995,67.45295,-48.148895,2.608799,121.581184,73.37532,-15.400548,-94.959915,27.046011,12.590931,39.088676,-105.792694,3.1858683,93.24279,-89.05736
1272,-115.636246,92.49075,60.11253,88.43622,104.994064,128.00888,131.9196,103.34369,49.5148,92.48262,-89.62268,101.4951,57.03507,-99.69654,23.65213,64.687645,119.6327,51.982788,-91.76005,83.52156,-6.6608634,-12.000958,77.94614,4.343269,109.4691,115.914856,71.37933,-27.250263,50.66324,-95.06048,73.1618,5.101469,-94.43234,22.011028,-89.69034,29.945345,-108.9995,-97.63046,89.33371,-62.73478
1273,-120.17937,74.643295,63.957783,-29.4234,87.265656,129.0798,122.347694,119.21086,52.910725,92.351,-101.83448,-45.255016,63.519234,-1.4619453,11.1234455,54.589237,119.803795,80.090775,-95.09724,-100.28002,-95.49003,-13.030659,88.27995,4.643488,98.882515,105.41855,78.47736,-92.812195,64.47905,117.930405,74.585495,-12.130415,93.75719,12.557117,5.408863,16.052189,-14.355605,-24.382572,87.627495,49.4711
1274,-122.04778,72.75749,68.73628,90.27295,85.98768,133.40924,119.93405,120.515465,48.7236,82.67651,-20.13794,102.51847,52.829556,-98.0306,-5.025306,73.15565,121.46292,47.581074,5.569272,-102.00522,-118.09025,-8.824898,90.48812,-121.61563,114.05351,102.33996,75.55194,-16.699533,-41.913506,-92.1271,-69.654236,-5.672894,-83.723656,22.772886,8.234919,15.885729,2.3564627,-0.7845395,88.092514,81.55196
1275,6.2961135,69.19177,60.98511,99.902695,88.368904,130.48633,129.8497,121.94756,50.84189,90.56973,-19.35733,96.73964,60.9047,-98.73015,23.114025,62.18108,138.8209,66.319,-94.75819,93.63414,-112.02855,-9.679553,94.96401,0.9457045,104.41674,95.29571,76.89612,-90.48671,53.37486,-82.27154,64.380135,-13.4608555,-82.580864,20.307219,12.609465,30.54483,6.4221478,-6.256882,87.16445,-70.72511
1276,-3.7147899,22.891556,62.79967,95.4044,101.404045,149.74832,125.63175,114.719284,62.673317,105.04925,-89.73278,104.11379,69.1686,-107.79316,29.928394,50.88206,123.7131,53.24604,-94.752014,-23.529312,15.912082,-9.562048,103.72987,-1.012135,83.75948,47.27222,69.895164,-74.98242,62.757915,125.20141,74.07647,-14.891209,101.39259,-107.33315,-96.40159,-15.510785,-2.5483103,-16.39921,93.17192,39.84404
1277,-19.653622,56.4911,70.95145,105.29413,91.625145,-36.6968,130.55974,108.18529,49.128944,99.93831,-33.130623,90.31274,55.85296,-21.635607,6.4272103,57.20411,122.11006,73.50434,-97.873276,81.819244,-88.9077,-17.20681,86.99924,-6.801729,93.40673,-21.046349,68.33892,-77.21222,65.13045,107.38131,74.81778,-16.898344,-95.89548,-92.81345,15.718519,25.122417,2.4790645,-10.725589,90.68475,-89.04261
1278,-10.191995,62.84017,59.7344,98.572624,98.526184,9.247383,123.10679,-33.485897,57.098705,95.96711,-19.433327,98.57613,63.26713,-118.967354,26.884993,58.85415,113.284996,60.223125,-101.25263,87.62531,17.929981,-10.223817,90.3106,16.402887,83.72136,110.902794,73.352455,-2.8175344,65.10492,-83.31893,65.61513,-18.8939,-96.44485,22.116978,7.857326,41.715813,-91.443275,-96.10997,88.65547,62.10456
1279,50.835785,4.746113,61.96574,104.45482,92.92989,134.11278,127.76638,-32.967598,44.764072,101.26802,88.43351,89.994385,63.813236,-24.944927,25.069204,27.971027,124.729996,20.287107,-100.83169,90.95612,3.6839533,-10.271196,82.78948,11.575503,-6.265041,103.74946,65.5838,0.9529395,66.16946,-101.109215,71.46628,-4.9854646,90.97136,20.26446,5.1255426,26.229189,-96.26906,-95.73975,88.57456,43.171185
1280,-9.423093,61.68432,66.161476,-22.728394,91.59977,1.584732,132.83408,-34.059837,50.78552,98.56799,89.14401,97.4335,56.65988,-94.82278,14.43077,38.21163,127.09366,68.18615,-94.385796,86.58878,15.867246,-10.962528,79.29574,-12.857549,25.921165,112.511086,68.7898,-3.1524959,63.94502,-34.245186,62.20609,-13.701727,101.52301,11.100311,9.483529,5.309157,-2.729847,-93.53257,88.76574,-116.53007
1281,-7.7161717,67.648506,64.44865,-28.481735,-50.387264,126.597145,119.26586,115.29532,60.720333,98.22513,86.271774,92.606125,60.96428,-108.18643,15.427262,43.98697,109.07449,63.43343,-94.081474,94.3618,-94.32847,-2.6008584,85.86245,8.819919,99.33614,112.05524,75.94329,-14.849324,70.72587,-98.009995,81.85043,-6.124561,90.729645,-96.96417,8.331424,-20.583513,-11.412088,0.001084372,91.15481,-64.57528
1282,-23.25487,6.7597566,69.29083,-53.618454,92.30052,135.55023,-37.97964,-33.347954,62.353165,94.7828,-108.59939,96.63495,58.025673,-101.375404,7.88937,49.292385,100.21839,57.541435,-97.52239,83.46574,10.627806,-7.315708,90.21138,12.090653,100.220894,104.719986,76.33408,-23.52012,62.871986,-28.573402,69.26484,-11.433912,-77.48544,17.31344,14.902129,32.799538,17.252457,2.8940377,82.02579,-87.82575
1283,-16.192564,0.4557342,62.351357,102.4982,92.90759,-17.003487,116.50271,-33.102795,62.70229,108.53731,-89.96564,105.883995,52.23154,-102.590935,16.231392,43.562805,120.65685,38.96302,-2.6494148,90.774864,6.4727497,-10.035007,89.91049,0.6396796,108.304955,88.03834,73.748886,-110.8016,63.64843,117.61067,62.215008,-8.721084,95.587685,15.656149,-111.53398,22.823868,-0.651104,-10.341698,89.945465,68.2354
1284,-6.677007,23.125393,58.016056,103.23352,98.620865,-17.714104,126.65992,-33.07456,53.845825,99.439,-90.71872,96.94937,57.767643,-100.24887,18.672531,54.22125,119.71275,53.32453,1.3494698,98.7801,-83.4032,3.6910722,90.001076,0.6394335,107.68315,112.63942,76.98097,-15.561583,67.79826,-24.492805,70.89583,-9.668693,-88.639755,2.3816035,13.099854,-73.319855,-5.81637,-17.83028,89.44372,65.63289
1285,-19.812319,76.04508,64.3346,103.656525,92.87742,0.97371674,118.42035,113.64435,45.567295,100.54474,-96.75462,94.81129,55.287216,-99.041115,21.83214,53.232906,115.861855,79.41106,5.820655,53.295273,-89.142334,-12.398183,88.83317,7.7214375,100.67339,108.43012,67.40395,-25.348217,65.62414,-60.478962,73.6059,-124.645645,95.82306,-6.3162436,19.733557,-88.76787,-6.3416176,-108.556755,89.26195,59.276073
1286,-18.271801,82.176674,66.30751,100.97131,84.63584,0.5493088,125.99375,105.93916,59.961357,101.46999,-83.856476,110.42855,58.143116,-7.4143677,13.656534,52.913803,122.22347,72.66327,-96.33762,77.607025,22.485636,-11.834612,97.83951,0.15189794,109.31161,112.574844,66.65799,-20.7172,70.9158,-48.0458,75.67647,-93.44656,110.13219,-97.63121,26.339703,34.00098,9.517872,5.0113187,86.35637,-64.92569
1287,40.335384,69.088005,74.22992,98.30964,78.95722,-39.902153,134.3293,94.25094,59.71462,89.57255,91.00774,97.96696,61.20513,-16.214666,18.680529,54.82011,128.3044,73.81405,-94.59087,107.87179,18.492767,-10.613432,74.15683,4.9296374,110.21094,-35.66568,68.48729,-9.110279,77.864655,117.9437,80.5038,-14.659036,-51.79714,4.6866274,1.7754338,35.578857,9.462032,1.617892,96.47616,46.818146
