,"It [499, 2]"
1255,-90.082
1256,37.25324
1257,37.672855
1258,-104.134315
1259,-106.654015
1260,-49.535744
1261,36.42696
1262,-101.6151
1263,30.674625
1264,-107.337814
1265,43.330326
1266,28.231115
1267,25.555658
1268,35.462723
1269,47.037483
1270,30.559515
1271,29.603718
1272,-90.829254
1273,56.02619
1274,-60.507122
1275,65.28329
1276,49.90572
1277,-89.61149
1278,40.05454
1279,51.73417
1280,67.22494
1281,55.614468
1282,50.611576
1283,32.158157
1284,-124.53931
1285,-122.76795
1286,-113.36948
1287,-93.38573
1288,45.812263
1289,45.964973
1290,46.415882
1291,-96.739334
1292,-65.40935
1293,-95.44194
1294,55.319954
1295,-95.13874
1296,-96.11388
1297,-94.76762
1298,-78.24321
1299,-93.932594
1300,47.67532
1301,47.85293
1302,35.157608
1303,-100.64155
1304,-66.355675
1305,-81.411674
1306,-95.693436
1307,-95.55852
1308,46.764156
1309,55.28751
1310,-90.83958
1311,-14.854437
1312,-100.41035
1313,62.86578
1314,61.288433
1315,44.899994
1316,-84.37761
1317,-99.493965
1318,50.309624
1319,45.509895
1320,-111.66005
1321,37.920647
1322,60.19394
1323,56.249054
1324,-69.235245
1325,-80.146126
1326,-63.664364
1327,-77.26573
1328,-80.242744
1329,48.311058
1330,-98.64627
1331,43.8817
1332,62.976414
1333,37.782185
1334,35.24871
1335,66.38085
1336,-80.75276
1337,-62.668377
1338,73.36015
1339,47.99532
1340,-94.359276
1341,30.774538
1342,-96.26677
1343,-47.813793
1344,58.562935
1345,68.034935
1346,-102.73611
1347,47.12165
1348,-122.29048
1349,42.146408
1350,43.81929
1351,24.92081
1352,20.964155
1353,39.12607
1354,31.662987
1355,25.839529
1356,19.301355
1357,-88.42657
1358,-67.56598
1359,42.05963
1360,41.36234
1361,33.89328
1362,23.21075
1363,-91.52841
1364,45.346985
1365,70.49319
1366,-97.65872
1367,69.1665
1368,63.716976
1369,62.506382
1370,35.546654
1371,62.52584
1372,-98.84497
1373,64.29884
1374,31.836843
1375,55.214382
1376,52.289764
1377,55.57451
1378,51.472122
1379,58.704506
1380,62.17429
1381,-64.54274
1382,37.74702
1383,49.907154
1384,55.452026
1385,60.639755
1386,43.99075
1387,46.991203
1388,63.54445
1389,55.176884
1390,34.159306
1391,38.656578
1392,59.71031
1393,30.811897
1394,48.335182
1395,46.032906
1396,51.465736
1397,50.239174
1398,61.57158
1399,66.33139
1400,58.963158
1401,58.214127
1402,60.470016
1403,-108.18524
1404,65.805115
1405,65.94957
1406,30.941193
1407,-31.376047
1408,40.26924
1409,-102.99346
1410,56.350834
1411,80.286964
1412,81.201096
1413,48.82039
1414,34.56877
1415,45.37828
1416,44.443817
1417,60.413048
1418,66.353355
1419,49.049133
1420,54.661354
1421,58.658436
1422,-60.49648
1423,67.39442
1424,45.148457
1425,50.360073
1426,61.26666
1427,75.71698
1428,88.14484
1429,79.55222
1430,73.1733
1431,54.556213
1432,30.295483
1433,-28.162416
1434,59.0167
1435,-72.825264
1436,60.405624
1437,-31.394447
1438,64.39515
1439,-102.09435
1440,-71.56273
1441,77.130066
1442,70.59396
1443,-60.6328
1444,61.803238
1445,71.72308
1446,82.30368
1447,59.374786
1448,23.353752
1449,-86.2193
1450,33.210888
1451,46.936794
1452,46.905704
1453,42.77626
1454,-104.16066
1455,-65.8701
1456,-43.038948
1457,-36.636913
1458,62.172253
1459,37.121838
1460,15.042081
1461,-72.30888
1462,56.159775
1463,58.535694
1464,58.38465
1465,-57.6272
1466,-89.67708
1467,73.86331
1468,69.31452
1469,-47.177185
1470,65.4312
1471,72.44726
1472,67.36503
1473,58.86879
1474,59.45435
1475,-71.12221
1476,-79.688156
1477,-95.15132
1478,-16.945892
1479,-97.441505
1480,-52.870113
1481,-92.55266
1482,-89.010765
1483,-80.261116
1484,-65.602104
1485,-62.503345
1486,76.97727
1487,63.048496
1488,-96.92642
1489,-100.793755
1490,-96.2889
1491,96.08431
1492,74.52156
1493,81.68841
1494,89.17988
1495,79.257
1496,71.5023
1497,-61.556507
1498,-92.2977
1499,65.06107
1500,76.30391
1501,82.054924
1502,61.4355
1503,-71.948235
1504,80.320076
1505,-84.198135
1506,-92.660736
1507,-100.12538
1508,-91.56453
1509,-53.70307
1510,-72.69636
1511,79.71045
1512,-53.068005
1513,-81.37185
1514,-83.53027
1515,-49.660946
1516,-50.290195
1517,94.25083
1518,95.63597
1519,87.14699
1520,90.60947
1521,-3.7347946
1522,-36.531803
1523,-35.314003
1524,89.18718
1525,91.97401
1526,90.56872
1527,58.93828
1528,44.80624
1529,58.719753
1530,75.03157
1531,-47.459183
1532,-64.16739
1533,38.796516
1534,55.76165
1535,-98.64967
1536,55.907795
1537,51.43664
1538,53.671932
1539,66.69687
1540,92.88041
1541,-62.681564
1542,57.211872
1543,64.4908
1544,73.89417
1545,97.076164
1546,78.976295
1547,-53.03219
1548,-66.166504
1549,92.924355
1550,87.357346
1551,81.54239
1552,91.12183
1553,78.26304
1554,70.78271
1555,76.610664
1556,67.33511
1557,-87.86695
1558,50.999237
1559,68.80633
1560,89.770546
1561,88.31244
1562,92.660774
1563,65.44115
1564,60.085037
1565,65.82966
1566,58.44785
1567,-72.231224
1568,46.893715
1569,61.548706
1570,-94.61971
1571,-14.74868
1572,80.495895
1573,59.322964
1574,51.197697
1575,-68.23828
1576,-100.79271
1577,-100.397865
1578,74.38337
1579,53.091785
1580,-98.161
1581,-99.0742
1582,-98.92079
1583,-54.06615
1584,84.9195
1585,75.51407
1586,-98.76413
1587,-99.88379
1588,-98.59063
1589,-77.83032
1590,-49.686325
1591,-43.790836
1592,-66.818306
1593,-86.20824
1594,-85.66349
1595,-53.666286
1596,-72.12709
1597,-83.75723
1598,-80.04571
1599,-100.34581
1600,-87.62017
1601,50.38569
1602,-79.1311
1603,99.25309
1604,53.909733
1605,93.29918
1606,90.85507
1607,63.509354
1608,49.401196
1609,45.899677
1610,53.752808
1611,39.721294
1612,26.024866
1613,-99.96357
1614,-102.49376
1615,-101.02428
1616,-74.12087
1617,37.45502
1618,-86.09055
1619,-96.299545
1620,91.86125
1621,76.711
1622,-91.163086
1623,-79.44512
1624,-62.95525
1625,65.87919
1626,58.274105
1627,-71.75285
1628,52.681633
1629,-76.77888
1630,42.80585
1631,-64.40993
1632,-79.32381
1633,-97.274315
1634,42.60575
1635,19.500622
1636,23.541908
1637,54.327995
1638,-77.71351
1639,-97.327545
1640,-91.422226
1641,-98.100876
1642,-95.93563
1643,-100.1236
1644,-101.00772
1645,-105.37725
1646,-94.80815
1647,-81.83725
1648,-94.19613
1649,-53.99059
1650,70.93755
1651,62.212
1652,59.41852
1653,63.16275
1654,-84.68082
1655,68.32638
1656,-21.20829
1657,54.02812
1658,47.250465
1659,56.8488
1660,62.395203
1661,-86.49522
1662,-63.364452
1663,63.72205
1664,-92.96696
1665,-80.85242
1666,41.263847
1667,58.245796
1668,-67.89026
1669,-89.73102
1670,-67.83154
1671,85.38552
1672,73.30584
1673,74.279564
1674,73.669334
1675,82.43917
1676,57.73437
1677,45.474285
1678,47.17709
1679,52.880455
1680,63.45938
1681,75.09032
1682,88.425476
1683,75.20448
1684,48.02622
1685,41.71888
1686,64.55224
1687,-58.681847
1688,-77.06592
1689,-115.31033
1690,-47.50064
1691,-42.324287
1692,60.925472
1693,-43.581333
1694,77.49937
1695,67.813065
1696,65.01338
1697,67.6511
1698,66.09076
1699,49.09552
1700,48.216908
1701,59.98632
1702,61.37134
1703,74.795845
1704,68.596855
1705,68.12571
1706,-97.221306
1707,-97.63459
1708,61.50945
1709,69.20762
1710,74.2851
1711,71.512344
1712,63.968933
1713,66.873184
