,"It [183, 2]"
750,-3.2215345
751,-7.836414
752,-4.46877
753,-6.8696566
754,15.23892
755,18.859505
756,22.657656
757,-17.368494
758,-24.904491
759,-30.027859
760,-16.149725
761,-15.607825
762,-9.372878
763,-26.814842
764,-19.474512
765,-20.929073
766,-20.456535
767,-89.20653
768,-14.723854
769,-14.943511
770,0.87435234
771,10.526613
772,-0.8171195
773,-95.05312
774,-13.707813
775,-15.5060005
776,-17.03839
777,-21.406023
778,-19.062895
779,-15.640172
780,-10.026949
781,0.62742054
782,-92.288704
783,-71.58749
784,-78.31781
785,-93.46061
786,-83.49542
787,-88.60268
788,-12.392111
789,-99.0343
790,-90.170135
791,-92.96303
792,21.714058
793,-72.79335
794,-54.826206
795,-96.21193
796,-8.356823
797,-12.703304
798,-13.352647
799,-94.78472
800,-89.09771
801,-102.34109
802,-84.34778
803,-74.41474
804,-86.85788
805,-97.37596
806,-10.604574
807,-4.0925674
808,-2.9524276
809,-88.55884
810,-3.956575
811,-92.05579
812,34.542233
813,16.584276
814,42.419125
815,45.438583
816,-85.89737
817,-89.50327
818,-93.98655
819,-97.84314
820,-94.76408
821,14.901317
822,-95.20747
823,-96.518364
824,-72.445206
825,-84.84358
826,-74.28997
827,61.54092
828,66.84378
829,-48.275707
830,76.0351
831,-41.664646
832,-86.59796
833,-90.6884
834,-92.58353
835,-87.55918
836,-85.26521
837,-87.956635
838,-90.51344
839,-94.09611
840,-90.0514
841,-93.392334
842,-95.23101
843,-89.058334
844,-96.567955
845,-93.099174
846,-70.20926
847,64.76298
848,-57.891876
849,-88.23256
850,-73.25059
851,-90.09161
852,-82.074715
853,64.78444
854,16.306877
855,-92.35145
856,-84.5804
857,-102.17631
858,-93.681915
859,-58.21392
860,-89.7496
861,-100.41017
862,-19.981462
863,-94.92405
864,-92.197
865,-106.14381
866,-93.05518
867,-49.38105
868,-79.245346
869,-47.26674
870,72.59981
871,-61.614647
872,-49.02279
873,-25.43401
874,-9.530282
875,-12.877479
876,-58.82013
877,14.845609
878,-108.62717
879,-46.703583
880,-35.619873
881,63.21436
882,66.60295
883,-42.62493
884,-29.111458
885,-64.09145
886,-96.220085
887,-102.67611
888,-96.70763
889,-97.09326
890,-89.897385
891,-89.17735
892,-101.143776
893,5.801204
894,-70.85916
895,-68.10691
896,52.91294
897,68.677246
898,52.292145
899,42.15522
900,-82.02434
901,22.893217
902,-68.132324
903,-65.17169
904,-89.7114
905,-41.45389
906,-88.22927
907,71.568474
908,-39.22925
909,72.93885
910,61.46001
911,82.20248
912,-85.588806
913,-61.220737
914,49.223724
915,-94.92671
916,-56.082348
917,-79.181145
918,-92.37733
919,-67.622986
920,46.632618
921,-72.859665
922,-70.24256
923,-66.427055
924,24.728771
925,-56.0216
926,-68.56063
927,-97.07335
928,-82.306915
929,-82.12183
930,-84.83651
931,-88.1005
932,-96.455025
933,-5.7395196
934,-127.60422
935,-67.354836
936,-89.927475
937,-121.63631
938,41.463005
939,-74.60724
940,27.759018
941,-69.02523
942,61.146534
943,51.59411
944,-77.61317
945,-63.06918
946,33.739162
947,52.42109
948,-70.28528
949,-57.85112
950,50.873135
951,-70.560844
952,-87.48567
953,-93.41606
954,-98.683235
955,-104.119415
956,-102.69899
957,-80.73001
958,75.92563
959,-37.37894
960,57.654648
961,63.983585
962,72.82409
963,53.81947
964,62.897892
965,-82.00461
966,-81.67666
967,74.511986
968,71.01911
969,76.324974
970,-32.667747
971,-92.32067
972,-54.071526
973,-89.003624
974,65.74737
975,-86.5611
976,-95.05716
977,-88.94614
978,23.123356
979,-80.17607
980,-89.78033
981,-82.82489
982,-78.251236
983,-96.79358
984,-98.02811
985,-47.58976
986,-39.5358
987,-40.793808
988,66.86575
989,69.19032
990,-81.55371
991,-86.75249
992,-95.42047
993,-48.494198
994,-64.98186
995,66.725914
996,-24.180344
997,69.57564
998,-60.353138
999,38.912758
1000,-65.059875
1001,-95.55062
1002,-79.33017
1003,53.161163
1004,59.021225
1005,-88.453964
1006,-87.21182
1007,-85.244125
1008,70.4218
1009,54.545197
1010,-43.195496
1011,72.92752
1012,-84.178894
1013,-33.764664
1014,76.53063
1015,79.08492
1016,65.35193
1017,79.48115
1018,-59.36517
1019,-65.12236
1020,-37.500175
1021,56.626938
1022,74.96666
1023,-59.249096
1024,90.651344
1025,-66.096466
1026,62.864735
1027,58.089283
1028,-68.022224
1029,61.970116
1030,53.911476
1031,58.037014
1032,68.79006
1033,49.89379
1034,-67.79558
1035,-41.48245
1036,72.91728
1037,73.51498
1038,-34.01853
1039,54.434166
1040,63.934093
1041,-53.6937
1042,-84.30598
1043,74.212715
1044,73.8664
1045,-50.5858
1046,-66.855225
1047,-79.21547
1048,67.04499
1049,-48.134014
1050,-85.27311
1051,-82.293045
1052,-58.652073
1053,-26.591202
1054,-40.271046
1055,59.2022
1056,75.42309
1057,71.059555
1058,-46.95686
1059,-64.01072
1060,-58.83173
1061,-51.036694
1062,78.41272
1063,-30.883469
1064,59.43076
1065,48.32384
1066,-56.362617
1067,63.2281
1068,-74.27582
1069,-86.13156
1070,-62.912262
1071,-84.391106
1072,53.618282
1073,89.201675
1074,88.78487
1075,71.2615
1076,59.13496
1077,-85.30801
1078,-77.20662
1079,-68.38806
1080,-81.23451
1081,-70.877686
1082,-55.17574
1083,-23.15931
1084,-75.44271
1085,62.81046
1086,75.13587
1087,78.78411
1088,-32.275024
1089,91.92496
1090,83.72478
1091,-33.424652
1092,79.97053
1093,90.221954
1094,-58.093063
1095,-81.35446
1096,89.95626
1097,94.850784
1098,-47.010635
1099,-6.4865494
1100,-1.1111679
1101,-36.93657
1102,-75.882675
1103,-78.2454
1104,56.567245
1105,-67.64043
1106,79.02103
1107,-37.288292
1108,75.358154
1109,-95.28909
1110,-63.580555
1111,-64.729645
1112,-62.175503
1113,-37.527626
1114,89.536804
1115,-26.810783
1116,94.462364
1117,-75.98354
1118,-4.6403046
1119,-64.72037
1120,-47.970825
1121,86.310776
1122,-78.95557
1123,-78.77133
1124,-76.46112
1125,102.94266
1126,-72.99348
1127,-88.1174
1128,-3.8625488
1129,87.95066
1130,-31.421509
1131,93.08319
1132,75.86863
1133,90.88548
1134,-76.55583
1135,95.97067
1136,93.37822
1137,111.31343
1138,-52.404987
1139,-35.356026
1140,-43.84677
1141,-33.744385
1142,-59.673923
1143,-66.558395
1144,-77.89045
1145,-54.871292
1146,-46.693073
1147,-80.2265
1148,-68.70955
