,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29
15,293.9975438,315.7465764,309.1861583,305.9313629,316.3099125,19.89195408,311.2700471,309.6697509,299.5913022,304.5495317,293.9975438,315.7465764,309.1861583,305.9313629,316.3099125,19.89195408,311.2700471,309.6697509,299.5913022,304.5495317,303.1513418,315.2235746,298.2199017,24.76789978,313.2763043,126.6134514,304.4321353,-67.89479087,316.0867252,317.0111234
16,288.3390921,315.5524145,307.8024435,307.4907581,316.0437791,-14.4678971,313.1086606,311.9586815,298.6249976,304.1645906,288.3390921,315.5524145,307.8024435,307.4907581,316.0437791,-14.4678971,313.1086606,311.9586815,298.6249976,304.1645906,305.7781157,316.1252775,298.0359375,-38.19882704,313.9068925,124.0988386,303.5349249,313.7071923,315.5528498,317.5834538
17,288.5191448,313.5391342,307.6656142,307.8821515,316.5717899,87.08298229,310.3849187,311.2894859,299.3327537,304.9870429,288.5191448,313.5391342,307.6656142,307.8821515,316.5717899,87.08298229,310.3849187,311.2894859,299.3327537,304.9870429,303.740929,316.4731948,298.745122,289.6755785,313.6632538,71.9662879,305.8516981,314.8407988,316.2843276,317.7728869
18,291.1683003,314.3879967,308.8876075,306.9365477,316.6952862,182.5874195,312.6029594,310.655582,299.8167559,304.3291292,291.1683003,314.3879967,308.8876075,306.9365477,316.6952862,182.5874195,312.6029594,310.655582,299.8167559,304.3291292,305.3062274,315.3618249,299.198034,290.0107985,313.3211908,0.96363527,304.6250654,-50.7078963,317.205716,317.8565286
19,5.326153515,313.2555938,308.5601592,307.0616398,315.6288346,-6.621425331,313.6018181,313.1150393,299.1794479,305.2909015,5.326153515,313.2555938,308.5601592,307.0616398,315.6288346,-6.621425331,313.6018181,313.1150393,299.1794479,305.2909015,302.0337047,316.4627092,299.6121841,289.4032137,313.3169419,2.812241064,305.6452602,314.4121711,315.9406439,317.3262291
20,291.522098,316.0244879,309.4186207,304.9373771,315.9180556,55.7304702,311.0898955,312.4788325,300.6075333,304.1856007,291.522098,316.0244879,309.4186207,304.9373771,315.9180556,55.7304702,311.0898955,312.4788325,300.6075333,304.1856007,303.9675923,317.119848,299.1579523,289.6664702,314.1284015,21.79868923,304.1943344,312.4905241,315.3521373,317.6105101
21,289.1254157,314.0359669,309.0637943,308.4686063,316.4611792,-34.74720203,313.1587715,312.2676799,174.7726803,304.3802339,289.1254157,314.0359669,309.0637943,308.4686063,316.4611792,-34.74720203,313.1587715,312.2676799,174.7726803,304.3802339,306.0946563,316.8146712,299.01935,290.8267589,314.1062212,74.53941653,304.2727745,-21.48946615,315.5497038,317.2115797
22,287.9823653,313.2956393,308.836254,307.7172756,316.4345193,50.96495365,312.1606922,312.1987743,300.6064436,305.2515771,287.9823653,313.2956393,308.836254,307.7172756,316.4345193,50.96495365,312.1606922,312.1987743,300.6064436,305.2515771,303.5316105,317.0238214,298.3758513,291.0004242,312.950576,142.8145091,303.2095674,313.1860553,316.4810387,318.3883916
23,291.6593182,312.6466778,308.0656539,306.2828707,316.4328952,20.98758941,311.858936,310.899681,299.2164005,304.8223681,291.6593182,312.6466778,308.0656539,306.2828707,316.4328952,20.98758941,311.858936,310.899681,299.2164005,304.8223681,305.7128263,316.988186,298.1698014,62.62192353,313.490849,143.625463,304.4658646,313.6986296,316.7941887,316.8632334
24,289.5349522,315.3064609,309.2957282,307.1223775,317.2913086,49.84191659,312.6056134,309.3817715,8.475214492,56.9500412,289.5349522,315.3064609,309.2957282,307.1223775,317.2913086,49.84191659,312.6056134,309.3817715,8.475214492,56.9500412,302.555508,316.1257644,297.7076284,58.75358031,313.8918612,2.364715989,305.8476546,313.6164948,316.2728495,317.7478019
25,287.2054596,316.3515252,309.1709302,308.4137064,316.8689913,20.32783488,311.5214361,313.8131142,300.2547851,304.8458049,287.2054596,316.3515252,309.1709302,308.4137064,316.8689913,20.32783488,311.5214361,313.8131142,300.2547851,304.8458049,306.4703131,317.3503717,296.4096127,291.5218155,313.7016358,-26.68554055,303.7499886,313.2940637,316.5602724,316.807924
26,283.3210887,316.1538199,309.0132973,304.6786673,315.9968669,99.61229618,312.63242,311.3055493,299.9952877,306.0935177,283.3210887,316.1538199,309.0132973,304.6786673,315.9968669,99.61229618,312.63242,311.3055493,299.9952877,306.0935177,304.7706688,315.6726806,298.3945778,289.5857738,312.8414144,9.830123873,304.2860369,-33.68560694,316.4413824,317.1374689
27,293.5924967,313.2635277,309.4900773,305.0040545,315.6044702,-20.79139193,312.131636,310.6536797,301.169321,304.8535193,293.5924967,313.2635277,309.4900773,305.0040545,315.6044702,-20.79139193,312.131636,310.6536797,301.169321,304.8535193,301.5583651,316.4185738,296.8127161,290.4378238,313.4014043,32.72343899,304.5205029,307.6319522,315.9212887,317.7839201
28,289.1478561,316.139986,309.5655776,308.0339357,315.9609751,-19.53887146,310.8165175,313.2997049,297.5284579,302.5296102,289.1478561,316.139986,309.5655776,308.0339357,315.9609751,-19.53887146,310.8165175,313.2997049,297.5284579,302.5296102,305.7647949,316.2257091,297.9817049,292.5899613,313.6582602,-26.72435356,304.6685694,311.9830263,316.3031155,316.9414695
29,109.0428956,316.1810996,309.4885411,306.9575918,316.4394618,77.65162971,311.9409227,312.0615258,300.464216,305.460927,109.0428956,316.1810996,309.4885411,306.9575918,316.4394618,77.65162971,311.9409227,312.0615258,300.464216,305.460927,109.2850305,315.4198492,297.3551264,51.15381764,314.2341739,124.4282597,305.0400736,-23.08148492,315.3151536,317.1365222
30,285.9974728,314.7611216,308.4810907,309.0181247,315.664777,33.22051626,312.0251962,312.5159015,298.2516129,305.1986223,285.9974728,314.7611216,308.4810907,309.0181247,315.664777,33.22051626,312.0251962,312.5159015,298.2516129,305.1986223,305.1215404,316.5260848,297.7128704,292.7069241,313.0553363,24.33706086,304.2527775,123.3369692,314.935608,316.8376159
31,288.8926435,315.3540354,308.8514732,308.2979882,315.7124353,48.02709827,311.2795618,311.7481905,299.7442231,304.9797325,288.8926435,315.3540354,308.8514732,308.2979882,315.7124353,48.02709827,311.2795618,311.7481905,299.7442231,304.9797325,303.9028238,315.9651578,297.1571229,291.9834762,313.4748142,124.6291615,303.8719373,-52.43422756,316.290688,317.6437791
32,291.4081578,130.0949383,308.3127841,308.1244314,316.402889,39.55936787,312.1477477,312.2669867,300.082873,303.2975635,291.4081578,130.0949383,308.3127841,308.1244314,316.402889,39.55936787,312.1477477,312.2669867,300.082873,303.2975635,305.5643477,317.4867981,298.2600898,290.0035801,313.7785,100.1681112,304.9348856,313.605062,316.7975471,317.4617986
33,286.9910749,315.6027957,309.4817699,304.9823331,316.1269287,190.6021434,312.9080547,311.3231439,300.7401779,305.3662289,286.9910749,315.6027957,309.4817699,304.9823331,316.1269287,190.6021434,312.9080547,311.3231439,300.7401779,305.3662289,304.2882172,316.038226,297.730729,10.58943967,313.3010793,19.84379112,303.5143823,313.4595825,316.7917444,317.1890826
34,289.071911,313.2741853,308.1896793,305.0907046,316.7162037,51.45870434,310.7566375,311.6934273,299.7125105,304.2233476,289.071911,313.2741853,308.1896793,305.0907046,316.7162037,51.45870434,310.7566375,311.6934273,299.7125105,304.2233476,31.56107349,316.1817371,-10.71254396,288.5034492,313.4605794,81.7612455,304.2021395,313.8655121,317.2555743,316.858224
35,284.7629907,315.7111886,307.310322,300.8561014,316.8672804,-39.72507922,311.7344271,310.6062897,300.5550758,305.222355,284.7629907,315.7111886,307.310322,300.8561014,316.8672804,-39.72507922,311.7344271,310.6062897,300.5550758,305.222355,305.4969137,315.7191188,297.9928462,293.2804556,313.4708338,-0.750937051,304.4216645,313.3383724,316.7010668,318.3432471
36,290.1968835,316.150045,309.4893323,304.2356688,316.0691847,-63.31245092,312.3612641,311.696502,64.24016785,304.4719217,290.1968835,316.150045,309.4893323,304.2356688,316.0691847,-63.31245092,312.3612641,311.696502,64.24016785,304.4719217,306.0432635,316.3235449,297.6502344,287.7104457,313.8732615,99.55495866,305.0897163,313.6858665,315.7789249,316.6421951
37,286.0569523,314.7808106,309.8194839,306.4363095,316.3018637,-15.53447161,311.9834639,313.4200911,299.564086,305.0942291,286.0569523,314.7808106,309.8194839,306.4363095,316.3018637,-15.53447161,311.9834639,313.4200911,299.564086,305.0942291,305.1853732,316.8561504,294.9311851,50.0544864,313.9386725,13.09065241,303.6531397,313.2336295,316.2299441,316.2637512
38,285.4763438,316.4055867,307.407681,309.9642674,316.2147324,-6.533342288,312.0675486,311.6838393,299.2952477,305.3984883,285.4763438,316.4055867,307.407681,309.9642674,316.2147324,-6.533342288,312.0675486,311.6838393,299.2952477,305.3984883,302.8419398,317.1694963,298.6909467,94.43946706,312.6484882,58.48722769,305.3711591,-76.87025508,317.0998184,317.9129397
39,283.1487688,314.7416375,308.5892105,308.9228499,316.3282741,67.63809644,311.1677555,311.3925712,300.1044319,305.0300523,283.1487688,314.7416375,308.5892105,308.9228499,316.3282741,67.63809644,311.1677555,311.3925712,300.1044319,305.0300523,304.9854183,315.3904896,297.6221773,294.4494748,313.2642213,72.64643689,304.0553285,313.3093643,317.1323639,317.4230242
40,288.2305174,192.569721,308.6542178,306.9372368,316.2227547,95.57798363,311.108728,311.5065419,300.2588561,303.8788156,288.2305174,192.569721,308.6542178,306.9372368,316.2227547,95.57798363,311.108728,311.5065419,300.2588561,303.8788156,306.839219,316.032148,297.5424561,294.4751276,314.2261749,113.4612085,304.2210938,314.5315914,316.4383531,317.0152724
41,291.751536,312.250291,309.0804914,307.4812333,315.8397369,-14.9334202,311.1447385,311.6974133,301.4679934,304.4397351,291.751536,312.250291,309.0804914,307.4812333,315.8397369,-14.9334202,311.1447385,311.6974133,301.4679934,304.4397351,302.3650109,315.7186864,295.6713832,290.2770647,314.0524303,9.125890436,303.6711349,311.3499909,315.6672327,317.7381842
42,289.7063322,314.7270364,309.6008231,304.7617422,314.2232998,26.05183127,311.0264135,311.7220531,300.3523874,304.432977,289.7063322,314.7270364,309.6008231,304.7617422,314.2232998,26.05183127,311.0264135,311.7220531,300.3523874,304.432977,307.6119121,316.0864748,297.7517266,292.1796397,313.1913116,120.4452046,306.4610615,2.038861924,317.5076063,317.4530729
43,285.6027159,315.3198001,306.9291696,308.4096972,314.9408264,108.1330121,311.307451,311.910579,300.0213992,303.941727,285.6027159,315.3198001,306.9291696,308.4096972,314.9408264,108.1330121,311.307451,311.910579,300.0213992,303.941727,306.0800285,317.6380087,297.4467064,291.9102683,313.3195139,81.77765423,303.4527856,-65.24396007,316.9936471,317.8136587
44,287.415846,315.3661154,307.8755194,306.260946,315.7055273,67.46465458,311.6297472,312.8761684,300.5619515,304.7174707,287.415846,315.3661154,307.8755194,306.260946,315.7055273,67.46465458,311.6297472,312.8761684,300.5619515,304.7174707,305.4530354,316.5815527,298.2331154,291.2581822,313.913087,-28.42448312,305.1713321,119.7548231,316.4264311,317.3756354
45,294.296201,314.8415471,308.9343731,307.4901128,315.9177893,-8.034918973,311.9543797,311.1489091,300.5676861,304.8465055,294.296201,314.8415471,308.9343731,307.4901128,315.9177893,-8.034918973,311.9543797,311.1489091,300.5676861,304.8465055,302.8827125,317.2395662,299.209291,294.0780086,313.7321761,21.22553529,304.4522236,-64.81863711,315.8852844,317.8012025
46,293.2307707,313.2446123,309.1789924,307.2066805,316.5764841,59.79937315,313.262809,313.0461705,298.8110223,305.4348185,293.2307707,313.2446123,309.1789924,307.2066805,316.5764841,59.79937315,313.262809,313.0461705,298.8110223,305.4348185,304.3019802,316.9339433,295.8888322,291.2203948,313.654281,-8.471364313,304.952887,313.4371816,315.340382,318.2225994
47,285.5104996,316.6622367,307.2056249,305.5969785,316.1616176,3.410697869,312.3675676,312.6499462,300.1382594,303.2012761,285.5104996,316.6622367,307.2056249,305.5969785,316.1616176,3.410697869,312.3675676,312.6499462,300.1382594,303.2012761,307.1624029,316.0779901,296.9580366,294.0559553,313.7014139,-26.49214329,304.7160925,313.5234754,315.9092859,317.5596364
