,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19
21,-36.08150285,-63.94090245,300.1703336,272.6005774,290.6577121,-99.64347288,-63.70336265,-34.75608956,18.23688213,273.2627341,281.1042895,-77.24651233,-123.689688,292.6646828,-81.97990066,-60.13321789,-84.31592019,287.6960239,287.7695466,284.9792334
22,-11.89512607,-73.50992334,301.3733079,273.5561831,289.4263101,-18.82427697,-52.97919724,272.4262747,-9.08593482,273.2296545,277.1719582,168.2865526,287.0276956,291.9238957,-175.9598472,289.5825085,-95.3064977,290.0332731,287.3500781,42.33493925
23,-15.72774543,-80.44230099,302.0396203,276.0475928,289.1018032,-98.10383778,-109.6820487,266.9694203,-108.3355485,262.0240329,277.765414,310.3295969,289.3721178,291.8508357,-89.44207579,-61.99270152,-79.01926138,286.3737373,289.3728969,-54.79457637
24,-18.93816138,-67.70721721,300.7106257,273.223789,289.9083639,-117.5686602,-68.1209759,276.405732,-108.3510726,270.355236,280.9625777,20.41138587,280.7331434,292.9057842,-181.9292901,-40.97320258,307.0121257,280.3022309,288.6831449,286.1707897
25,-7.622146298,-58.74045039,299.6405162,271.2005486,290.6669151,-40.49212098,-26.29210299,1.723544519,299.0007937,275.4709189,278.505176,309.7042726,-125.9595136,291.6564477,-85.1797677,-56.65674892,-84.18790495,279.6708357,289.6409466,284.2919157
26,-73.91067063,-74.61749683,300.0328523,272.8366485,289.0531763,-115.2562974,-61.57716516,-92.67304945,83.30419878,277.75621,277.7907951,192.2307803,-126.0550617,293.8564251,-87.29602222,85.51483057,-97.83050329,280.9077967,289.7111317,286.4313956
27,-37.47039259,-49.60624604,301.1421288,271.6970933,290.5708326,-95.04538578,-82.99763887,261.3506745,79.10011801,275.4477512,278.1580503,307.5359299,283.8850092,290.7279801,-181.7615501,35.11690604,305.733721,286.2293223,289.3082973,268.173448
28,-14.22840135,-53.2746845,300.743589,272.7917206,289.2965577,-62.80493753,-118.6272451,271.806619,-57.37916111,269.2927875,280.3363053,72.47558182,-130.6521374,288.3754637,-176.7070397,-18.77070942,304.7944866,285.6443514,-30.12585142,284.3486414
29,48.94807974,-78.99468962,302.6744341,274.9892519,288.4979262,-94.30453767,-115.1234114,272.8899052,-108.3635504,269.1053072,279.2797402,111.8575625,-124.5266707,291.2991253,-186.1346687,-53.54319401,-86.09753317,283.7831325,289.2154208,284.3976265
30,-47.06485316,-69.7275762,300.6252036,271.2752128,290.6609071,-54.08684293,-110.2860907,273.5163375,-108.1097714,273.4990447,280.508962,308.2712523,287.0296867,292.2156551,-86.50338501,7.946342184,-86.74261039,292.484859,289.7462307,288.1631718
31,-4.614738439,-61.85703542,299.9186314,273.457234,289.887391,-105.6937653,-82.23238535,-46.09198554,-103.3600745,268.0385686,279.4116388,304.6265773,-129.3490228,294.5695391,-86.26675839,-40.82123305,-86.41842028,283.3028177,285.0992874,285.5404925
32,-7.262055746,-68.60744317,301.378192,274.2131922,289.4408508,-105.0255578,-116.2280725,-88.10522001,298.9983063,274.6292373,281.4193908,307.9674711,-129.9042733,289.4008058,-86.96700967,99.07046286,306.4260903,285.0044474,131.3105343,286.1982154
33,3.154666987,-63.19255365,300.8373469,274.2110033,291.3414792,-110.0196286,-62.3160746,-107.9160865,-108.363327,272.3798282,277.880316,92.28398652,-139.1654511,291.1770166,-86.89079903,-47.57173292,-96.46182388,287.7884184,290.1427226,285.8523703
34,7.18264781,-73.10965155,301.1847691,272.7363174,290.3976425,-98.54066717,23.41591535,271.8432967,-12.81160324,280.0506626,280.7126854,307.1490346,-130.7566749,289.6620604,-194.4834057,-29.86784728,-91.90640143,281.6122233,290.0793598,-74.58211218
