,"It [268, 1]"
732,-69.332146
733,49.094524
734,41.401943
735,-113.48202
736,-113.750465
737,-107.12132
738,-103.00983
739,-109.27165
740,-100.42215
741,47.38615
742,38.89104
743,-59.949574
744,-95.1939
745,-87.764114
746,-101.381546
747,-99.80632
748,-98.1121
749,-93.23837
750,-85.27618
751,-97.35919
752,-104.367424
753,-106.42031
754,-108.50963
755,-106.28291
756,-106.58026
757,-106.87391
758,-106.21581
759,-102.97778
760,-77.957886
761,-87.00945
762,-101.39733
763,-101.27612
764,-97.19967
765,-3.9493327
766,-101.57524
767,-93.6146
768,-100.39746
769,-75.861786
770,-94.420685
771,-96.553825
772,-88.315094
773,-102.461464
774,-99.02554
775,-93.5075
776,-100.57344
777,-95.4066
778,-81.32321
779,-78.63708
780,-125.502106
781,-124.60948
782,-94.910385
783,-102.431
784,-102.39815
785,-109.435036
786,-99.58629
787,-90.692505
788,-99.09975
789,-94.5721
790,-86.23958
791,-86.87518
792,-67.5759
793,-92.23146
794,-95.11912
795,-100.25238
796,-124.99211
797,-129.89142
798,-116.817726
799,-81.53978
800,-100.14775
801,-88.02037
802,-77.29619
803,-88.80553
804,-80.28082
805,33.840878
806,-55.095783
807,59.471767
808,52.75013
809,39.59494
810,10.620388
811,8.356324
812,12.561174
813,19.82082
814,-95.04038
815,43.589222
816,42.03192
817,-94.34068
818,47.75548
819,56.57825
820,62.261177
821,52.98704
822,-96.57372
823,35.8511
824,25.801344
825,34.984314
826,22.910213
827,19.385057
828,-94.586395
829,-102.162155
830,-83.04208
831,-69.64657
832,39.84523
833,22.10175
834,19.34769
835,-105.629105
836,-104.81233
837,-112.47729
838,-139.47809
839,-110.05844
840,-109.36747
841,-103.75961
842,46.997932
843,40.43378
844,54.673965
845,-70.98262
846,-101.61816
847,-144.78629
848,-139.90622
849,27.870188
850,-98.743675
851,-53.354977
852,-94.84811
853,40.227245
854,37.706005
855,-91.342964
856,43.56403
857,-96.75303
858,60.2699
859,41.180904
860,21.880213
861,27.181093
862,-108.4677
863,19.945826
864,9.68675
865,38.941505
866,40.3328
867,-94.594696
868,-81.95646
869,52.222626
870,-99.70176
871,32.091774
872,-84.73094
873,23.276663
874,-93.796524
875,-100.58545
876,44.43653
877,40.874214
878,-91.81643
879,-98.65558
880,-67.43132
881,-66.991615
882,-93.082794
883,-93.10859
884,45.180542
885,-83.44879
886,-93.71534
887,-90.41457
888,-101.95515
889,-94.950455
890,-94.24867
891,-100.37377
892,-102.2062
893,-92.76872
894,24.913609
895,-79.49228
896,47.482174
897,40.766804
898,43.91012
899,29.236172
900,43.394527
901,-97.83671
902,-102.76475
903,8.102982
