,"It [288, 1]"
539,-104.634094
540,-108.614
541,-108.22294
542,-105.86658
543,-115.12656
544,-110.979225
545,-110.482956
546,-116.91992
547,-110.617935
548,-32.949093
549,-111.74916
550,-98.29726
551,-104.96224
552,-100.78639
553,-105.92197
554,-103.833824
555,-103.83286
556,-99.57767
557,-102.5611
558,-103.98902
559,-103.22292
560,-102.531845
561,-102.98338
562,-109.072815
563,-114.220055
564,-109.870804
565,-111.29319
566,-110.19823
567,-116.630875
568,-118.053955
569,-117.44652
570,-107.09798
571,-103.69786
572,-102.332146
573,-98.77001
574,-104.421486
575,-104.46372
576,-101.18141
577,-103.90839
578,-99.55486
579,-101.65234
580,-115.728806
581,-114.48743
582,-107.58933
583,-107.81915
584,-108.63517
585,-110.09399
586,-113.976875
587,-111.71604
588,-106.27311
589,-101.03588
590,-105.03724
591,-98.69761
592,-101.78524
593,-93.23283
594,-104.1163
595,-108.14062
596,-109.334366
597,-110.837296
598,-111.17736
599,-108.186676
600,-97.86652
601,-98.35985
602,-99.38208
603,-94.75838
604,-99.63598
605,-109.07916
606,-101.82178
607,-94.11039
608,-94.40708
609,-95.64924
610,-98.64381
611,-97.9121
612,-101.36149
613,-104.23631
614,-105.74306
615,-102.70867
616,-97.01581
617,-104.617905
618,-101.1865
619,-102.22112
620,-105.2062
621,-106.2143
622,-105.04654
623,-103.645515
624,-104.05807
625,-102.42174
626,-103.59333
627,-105.5696
628,-100.62114
629,-114.31528
630,-105.79081
631,-105.73508
632,-101.20641
633,-95.235695
634,-94.80039
635,-103.98183
636,-102.33865
637,-107.291275
638,-103.733154
639,-105.35348
640,-102.34101
641,-105.31863
642,-104.76682
643,-104.60879
644,-110.089165
645,-12.779115
646,-15.766136
647,-20.58831
648,-25.285778
649,-23.807577
650,-24.804684
651,-106.12373
652,-24.601748
653,-108.10982
654,-112.05784
655,-97.03318
656,-109.49594
657,-91.50766
658,-94.028114
659,-89.75386
660,-104.418045
661,-97.34274
662,-95.76865
663,-91.68062
664,-98.77124
665,-102.93177
666,-109.15512
667,-27.245943
668,-98.94618
669,-102.587654
670,-98.966125
671,-98.71599
672,-124.05994
673,-99.51543
674,-96.471504
675,-98.99372
676,-86.85112
677,-97.95919
678,-97.16537
679,-100.637856
680,-99.4065
681,-97.23651
682,-96.389626
683,-100.28087
684,-101.11603
685,-17.939388
686,-102.439026
687,-104.54731
688,-102.47699
689,22.898878
690,-99.07054
691,-101.416534
692,-84.04183
693,-90.691055
694,-96.81879
695,-98.89985
696,-84.01331
697,-68.9601
698,-95.543365
699,-96.169174
700,-96.141075
701,-99.40941
702,-99.50232
703,-98.44782
704,-93.56091
705,-93.63327
706,-94.02324
707,-98.17023
708,-81.4207
709,-69.721115
710,-65.878586
711,-100.00555
712,-93.033516
713,-90.8873
714,-91.18282
715,-94.61669
716,-101.1984
717,-95.0616
718,-2.932185
719,-15.925331
720,-117.22854
721,-121.7487
722,-112.84226
723,-109.43576
724,-107.69007
725,-111.3595
726,-115.77568
727,-80.90196
728,-104.06065
729,-99.57736
730,-100.88897
731,-92.931206
732,-98.240105
733,-79.8633
734,-81.23751
735,-86.12518
736,31.77321
737,46.421772
738,41.11271
739,-88.799255
740,-93.96399
741,-96.833
742,-94.89528
743,-92.56384
744,-98.985146
745,-85.99525
746,-59.99296
747,-45.371193
748,-75.91259
749,-88.346825
750,17.35796
751,23.298431
752,39.51751
753,52.72978
754,-55.598553
755,65.24857
756,61.958225
757,52.448856
758,43.71741
759,56.75042
760,55.410683
761,48.000343
762,41.99637
763,53.897316
764,52.1461
765,54.11727
766,50.554153
767,34.53457
768,-12.855268
769,-103.87088
770,-8.226803
771,16.777468
772,-85.9359
773,-66.72412
774,-98.16843
775,-87.72315
776,86.03899
777,37.89574
778,41.43811
779,37.79623
780,-84.086815
781,63.32548
782,-61.928577
783,-72.68047
784,-68.04546
785,-80.54439
786,-63.450138
787,51.430428
788,51.557747
789,-26.148598
790,-51.529694
791,-47.806606
792,25.424728
793,-35.551193
794,-60.35086
795,-65.58923
796,41.382874
797,-73.466034
798,-89.012115
799,-97.222916
800,-90.713524
801,-96.115585
802,-98.03958
803,-79.00734
804,-36.429493
805,32.03145
806,29.805012
807,3.5080104
808,-60.49439
809,-110.3836
810,30.097937
811,-74.72239
812,56.61857
813,44.749268
814,-81.66885
815,-89.031944
816,-75.37942
817,-98.65496
818,31.758759
