,"It [141, 3]"
1008,-27.23345
1009,-22.087265
1010,-13.559264
1011,-22.345617
1012,-16.692425
1013,-25.307438
1014,-22.517303
1015,-23.406956
1016,-31.494179
1017,-30.49937
1018,-34.40954
1019,-38.21485
1020,-41.399067
1021,-40.886757
1022,-38.360653
1023,-32.29225
1024,-28.07083
1025,-38.024403
1026,-33.277695
1027,-28.060907
1028,-31.057697
1029,-30.43087
1030,-28.719397
1031,-31.016823
1032,-30.850473
1033,-23.805714
1034,-23.00302
1035,-25.559109
1036,-18.994358
1037,-108.687164
1038,-111.4664
1039,-111.244415
1040,-108.08855
1041,-24.270689
1042,-25.282942
1043,-27.899736
1044,-29.611946
1045,-31.73474
1046,-34.052074
1047,-33.12443
1048,-28.52164
1049,-17.995739
1050,-103.535255
1051,-113.08496
1052,-111.24796
1053,-112.55015
1054,-112.93509
1055,-109.045944
1056,-137.53316
1057,-109.35491
1058,-11.736173
1059,-19.471575
1060,-22.744644
1061,-114.19243
1062,-19.460083
1063,-110.41204
1064,-108.55955
1065,-10.381332
1066,-20.592505
1067,-97.400925
1068,-21.200682
1069,-121.928406
1070,-114.9415
1071,-112.9966
1072,-103.62853
1073,-116.58237
1074,-109.27534
1075,-113.10369
1076,-112.27843
1077,-104.3332
1078,-113.97184
1079,-17.583057
1080,-10.664425
1081,-13.600221
1082,-9.724905
1083,7.5171523
1084,-10.412313
1085,-11.4669895
1086,-19.16029
1087,-20.028257
1088,-24.063759
1089,-32.107662
1090,-29.973135
1091,-26.723755
1092,-31.998491
1093,-29.304325
1094,-28.20309
1095,-34.83932
1096,-16.676085
1097,-21.188652
1098,-122.30295
1099,-120.757286
1100,-126.55426
1101,-147.02765
1102,-119.515076
1103,-113.788506
1104,-32.86684
1105,-34.62041
1106,-22.75254
1107,-10.246657
1108,-4.3307085
1109,-12.361549
1110,-118.35521
1111,-15.5753355
1112,-19.984623
1113,-108.790375
1114,-119.33018
1115,-116.774734
1116,-118.092125
1117,-117.78385
1118,-127.63431
1119,-134.24907
1120,-107.37734
1121,-1.5575007
1122,-132.40611
1123,-126.01213
1124,14.19797
1125,-3.4840279
1126,-8.863693
1127,-94.571465
1128,-117.15403
1129,2.5834293
1130,-27.571518
1131,-31.588623
1132,-24.090242
1133,-137.79701
1134,9.894636
1135,9.830956
1136,-121.07644
1137,-121.347046
1138,-114.74994
1139,-115.88298
1140,-118.020546
1141,-115.5352
1142,1.6733757
1143,-115.34802
1144,-105.18111
1145,-94.05899
1146,-122.210266
1147,-92.92874
1148,-117.765274
1149,48.15692
1150,-105.11692
1151,-104.92516
1152,-91.23444
1153,-98.19365
1154,-99.2346
1155,-111.21086
1156,-114.222046
1157,-125.245056
1158,-19.605618
1159,-97.75595
1160,5.8947515
1161,-92.24961
1162,-17.68862
1163,-101.95991
1164,7.656974
1165,-95.15701
1166,-107.95109
1167,-108.29651
1168,-106.48234
1169,-108.26822
1170,-106.82898
1171,-105.207855
1172,-122.3597
1173,-126.84293
1174,-106.743034
1175,-8.123236
1176,-109.30216
1177,-23.556183
1178,-13.380995
1179,-26.841398
1180,-16.326216
1181,-2.9327877
1182,-4.9604177
1183,-14.867276
1184,-15.767759
1185,-120.62298
1186,-36.16185
1187,-113.60986
1188,-109.79706
1189,-106.16578
1190,-108.58867
1191,-104.87703
1192,-114.10365
1193,-115.55589
1194,-119.39006
1195,-126.89853
1196,-113.75696
1197,-132.44278
1198,-21.648655
1199,-115.34862
1200,-11.934894
1201,-92.1491
1202,-98.23854
1203,18.46604
1204,-96.09891
1205,-111.27126
1206,-104.294525
1207,-19.523129
1208,-10.547763
1209,-112.76405
1210,15.829068
1211,-103.83839
1212,-101.58589
1213,-107.06332
1214,-107.21589
1215,-99.925224
1216,-110.653595
1217,-18.761189
1218,-12.597526
1219,-12.038807
1220,-3.3612547
1221,-2.0078688
1222,-100.93464
1223,-101.20101
1224,-100.197685
1225,-103.223206
1226,-101.133484
1227,-99.823326
1228,-109.18992
1229,-99.80277
1230,-105.59649
1231,-16.635551
1232,-105.912125
1233,-14.100301
1234,-23.103582
1235,-102.78659
1236,-11.49747
1237,-4.0967507
1238,-2.1744087
1239,-15.130478
1240,-100.05037
1241,-95.41689
1242,-0.30670846
1243,28.419605
1244,33.213875
1245,-92.44346
1246,4.329706
1247,37.808575
1248,-90.718216
1249,41.967567
1250,-89.52992
1251,-104.593124
1252,-105.919945
1253,54.535378
1254,-77.93054
1255,28.22927
1256,8.7970495
1257,-27.817919
1258,4.3640175
1259,-104.27506
1260,-15.521646
1261,-27.815018
1262,-13.240296
1263,18.885408
1264,-16.676281
1265,-12.537802
1266,-21.765589
1267,-14.021724
1268,9.316421
1269,17.338497
1270,16.766342
1271,-14.446903
1272,-20.453554
1273,-25.284376
1274,-24.119738
1275,-22.528343
1276,-24.57565
1277,-22.959255
1278,-22.681019
1279,-29.374065
1280,-24.145071
1281,32.61842
1282,17.820044
1283,20.516872
1284,-107.23791
