,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9
73,-98.90915,-108.58847,-11.243197,-119.12187,-109.67765,-95.72648,-18.611055,-98.98347,-98.17401,-9.389543
74,-99.90346,-16.346252,-18.02518,-20.761406,-97.95139,-101.343666,-10.243004,-17.335453,-111.437065,-18.124037
75,-15.183529,-11.803329,-99.80876,-103.23198,-106.42215,-112.35256,-99.93242,-16.30845,-102.259384,-99.74603
76,-125.116905,-97.9924,-106.917274,-20.466013,-96.2005,-14.011138,-99.55336,-15.780132,-13.153753,-106.610504
77,-95.25061,-114.93438,-17.775698,-100.59899,-100.16733,-97.3665,-10.328323,-100.45975,-97.55165,-96.32662
78,-24.497625,-103.492424,-105.25246,-99.356094,-12.242509,-121.11718,-18.891823,-16.894901,-20.771471,-100.608444
79,-104.48767,-98.36643,-12.703103,-97.82386,-113.16074,-119.41482,-16.88343,-15.45088,-99.4896,-100.97854
80,-114.401924,-17.449905,-100.10314,-120.08621,-17.154533,-5.824969,-104.18826,-98.22724,-16.622107,-111.590805
81,-12.495015,-100.5457,-101.19934,-19.660763,-15.83642,-9.65473,-99.54486,-112.817566,-100.06225,-107.87364
82,-100.003,-98.88672,-15.864147,-97.1816,-16.228174,-100.34632,-18.307919,-118.34623,-102.57546,-21.839283
83,-15.927319,-100.3224,-103.293724,-118.602615,-19.893885,-9.25314,-98.69287,-112.66755,-97.757034,-12.416312
84,-4.6645837,-111.3741,-99.9882,-22.934439,-104.062775,-105.93358,-99.90614,-97.91422,-100.80469,-100.28574
85,-115.21217,-14.163145,-103.98538,-21.381338,-116.77676,-24.262735,-100.07001,-123.69885,-120.275635,-107.69228
86,-99.607285,-101.376976,-18.750963,-99.899765,-115.09767,-19.76042,-99.865234,-96.66295,-125.523384,-9.057416
87,-111.87249,-120.526,-95.52461,-106.36536,-103.436874,-96.98092,-19.013771,-126.624435,-97.75006,-7.316919
88,-18.281713,-16.213701,-98.36288,-106.80014,-23.117607,-12.404313,-100.9643,-18.532263,-97.793106,-100.302475
89,-115.04458,-21.009329,-111.164604,-97.16857,-15.179799,-100.47771,-119.44631,-107.192535,-15.900918,-105.923965
90,-14.348386,-14.023,-114.786224,-98.480644,-115.92874,-10.024967,-16.029413,-16.870335,-109.05153,-98.35521
91,-17.95947,-95.728325,-99.59544,-107.78072,-99.228004,-101.40739,-16.393871,-13.79363,-104.68465,-23.134315
92,-16.591028,-109.10053,-115.879814,-97.43515,-103.48771,-113.95571,-20.001955,-96.4748,-120.88948,-16.58633
93,-9.195233,-100.870026,-122.75155,-108.2332,-102.27827,-110.10495,-99.81963,-23.635937,-15.934754,-111.95506
94,-11.841668,-98.78424,-107.78724,-99.11431,-21.480648,-17.747263,-18.762133,-96.63894,-98.95163,-114.967896
95,-11.868582,-102.2943,-98.032005,-18.307924,-98.16604,-99.60304,-112.032776,-111.885796,-100.21068,-19.175419
96,-21.458214,-102.92809,-16.425663,-114.95235,-100.38389,-8.640752,-111.36972,-97.7713,-98.87994,-97.383995
97,-102.182014,-17.812313,-16.796595,-109.09633,-112.34029,-96.292755,-7.74523,-20.24965,-96.31782,-96.63016
98,-9.496426,-11.844925,-98.58891,-14.553809,-112.44307,-100.10459,-13.905554,-112.0086,-98.84758,-100.113365
99,-122.30585,-112.81011,-14.405207,-99.47509,-101.05471,-97.612656,-116.73186,-107.29482,-19.881805,-99.1555
100,-15.507594,-114.57381,-15.352504,-123.02953,-98.318886,-99.60629,-10.601307,-15.152339,-18.41144,-12.994946
101,-11.825113,-97.368614,-121.65648,-110.60306,-94.731064,-119.86195,-19.39632,-112.001564,-109.81908,-109.035904
102,-10.833733,-98.78602,-18.850037,-100.6733,-21.853357,-97.585495,-102.28031,-99.289795,-98.05543,-14.042042
103,-111.600136,-10.324291,-111.84447,-110.56695,-119.25066,-97.151276,-13.672987,-13.832807,-14.148635,-10.01128
104,-95.88302,-113.50554,-98.67889,-115.40798,-109.33278,-112.96554,-113.01698,-102.618805,-109.88443,-13.440527
105,-98.832306,-99.13853,-97.67011,-17.046103,-98.162605,-124.57597,-100.76489,-97.76743,-97.27642,-100.11328
